idx	year	month	journal	doi	pmid	verdict	text_source	catalog_flag	uniprot_candidates	ncbi_candidates	locus_candidates	enzyme_keyword_hits	title
12	2026	Apr	Cell Syst	10.1016/j.cels.2026.101541	41895258	HAS_ACCESSIONS	PMC:PMC13035320	False	K2HPO4			bile salt hydrolase(7);deconjugation(6);acyltransferase(4);amine-conjugated(1)	Systemic rhythmicity of host and bacterial bile acid amidates in the mouse
51	2026	Apr	bioRxiv (preprint)	10.64898/2026.03.31.715750	41959458	HAS_ACCESSIONS	PMC:PMC13060235	False			bsh	deconjugation(2);bile salt hydrolase(1);transferase(1);dehydrogenase(1)	Antibiotic Exposure Through Human Milk Influences the Infant Gut Microbiome
9	2025	Dec	eLife	10.7554/eLife.96783	41460563	HAS_ACCESSIONS	PMC:PMC12747522	False	B6C3F1			cyp7a1(13);cyp8b1(10);cyp7b1(3);cyp27a1(3);sulfation(3);sulfated(2)	Sex differences in bile acid homeostasis and excretion underlie the disparity in liver cancer incidence between males and females
33	2025	Dec	Cell Host Microbe	10.1016/j.chom.2025.11.002	41308639	HAS_ACCESSIONS	PMC:PMC12875530	False	P11496		bsh	bile salt hydrolase(5);transferase(3);deconjugates(1);deconjugate(1);sulfated(1);deconjugation(1)	Environmental and maternal imprints on infant gut metabolic development
34	2025	Jul	bioRxiv (preprint)	10.1101/2025.07.24.666662	40777448	HAS_ACCESSIONS	PMC:PMC12330730	False			bsh	bile salt hydrolase(6);transferase(4);deconjugates(1);sulfated(1);deconjugation(1);amine-conjugated(1)	Environmental and Maternal Imprints on Infant Gut Metabolic Programming
38	2025	Oct	Nat Protoc	10.1038/s41596-024-01136-2	40021805	HAS_ACCESSIONS	PMC:PMC12353464	False	C7D6F0				A guide to reverse metabolomics — a framework for big data discovery strategy
39	2025	Jul	Cell Host Microbe	10.1016/j.chom.2025.05.024	40777923	HAS_ACCESSIONS	PubMed_abstract:40777923	False			bsh	bile salt hydrolase(1);deconjugation(1)	Metatranscriptomics uncover diurnal functional shifts in bacterial transgenes with profound metabolic effects
62	2025	Apr	Cell	10.1016/j.cell.2025.01.039	40020666	HAS_ACCESSIONS	PMC:PMC12068931	False	P11496;P49007			sulfate(3)	The International Space Station has a unique and extreme microbial and chemical environment driven by use patterns
69	2025	Feb	mSystems	10.1128/msystems.01471-24	39835799	HAS_ACCESSIONS	PMC:PMC11834471	False	Q32853			cyp450(1);sulfate(1)	Multi-omic signatures of host response associated with presence, type, and outcome of enterococcal bacteremia
2	2024	Feb	Nature	10.1038/s41586-023-06990-w	38326609	HAS_ACCESSIONS	PMC:PMC10881385	True			bsh	acyltransferase(18);bile salt hydrolase(10);deconjugation(6);cyp1a1(5);amine-conjugated(4);cyp3a11(3)	Bile salt hydrolase catalyses formation of amine-conjugated bile acids
4	2024	Jul	Nat Rev Gastroenterol Hepatol	10.1038/s41575-024-00914-3	38575682	HAS_ACCESSIONS	PMC:PMC12248421	False			baiCD;baiH;bsh	bile salt hydrolase(11);transferase(8);acyltransferase(8);sulfated(7);deconjugation(5);kinase(4)	The changing metabolic landscape of bile acids — keys to metabolism and immune regulation
58	2024	Jun	bioRxiv (preprint)	10.1101/2024.06.19.599758	38948766	HAS_ACCESSIONS	PMC:PMC11213024	unknown			BF9343_1074;BF9343_1433;BF9343_1435;BF9343_1436;BF9343_1437;BF9343_1444;BF9343_1919;BF9343_2449	bile salt hydrolase(2);amine-conjugated(1)	Pathogenic Bacteroides fragilis strains can emerge from gut-resident commensals
59	2024	Apr	Cell Rep	10.1016/j.celrep.2024.113953	38517896	HAS_ACCESSIONS	PMC:PMC11132177	False	Q3U367		bsh	hydroxylase(5);bile salt hydrolase(2);dehydrogenase(1)	Peripheral neuronal activation shapes the microbiome and alters gut physiology
82			Nat Microbiol (2024)	10.1038/s41564-023-01575-9		HAS_ACCESSIONS	PMC:PMC10847041	?	P31915			bile salt hydrolase(3);reductase(1);transferase(1)	microbeMASST: a taxonomically informed mass spectrometry search tool for microbial metabolomics data
86			bioRxiv (2024)	10.1101/2024.10.07.617109		HAS_ACCESSIONS	PMC:PMC11482764	?		PMC11482764.1;PMC11482764.2		reductase(1)	Empirically establishing drug exposure records directly from untargeted metabolomics data (preprint)
96			Rapid Commun Mass Spectrom (2025)	10.1002/rcm.9153		HAS_ACCESSIONS	PMC:PMC8709870	?	P00761				Large-scale tandem mass spectrum clustering using fast nearest neighbor searching
101			bioRxiv (2025)	10.1101/2024.10.14.618269		HAS_ACCESSIONS	PMC:PMC11507738	?		PMC11507738.1;PMC11507738.2			Structural annotation of full-scan MS data: A unified solution for LC-MS and MS imaging analyses
127			Metabolites (2024)	10.3390/metabo14110631		HAS_ACCESSIONS	PMC:PMC11596052	?	P23938			sulfate(2)	Possible Missing Sources of Atmospheric Glyoxal Part II: Oxidation of Toluene Derived from the Primary Production of Marine Microorganisms
7	2026	Feb	Anal Chem	10.1021/acs.analchem.5c05677	41642850	ENZYME_LIKELY	PMC:PMC12921657	False				amine-conjugated(4);bile salt hydrolase(3);sulfations(1);cytochrome p450(1);acyltransferase(1)	MS/MS Mass Spectrometry Filtering Tree for Bile Acid Regio- and Stereoisomer Annotation
18	2026	May	bioRxiv (preprint)	10.64898/2026.05.13.724743	42182470	ENZYME_LIKELY	PMC:PMC13192845	unknown				reductase(3);sulfation(1);dehydrogenase(1)	Alkamines reveal a hidden layer of steroid and drug metabolism
29	2026	Feb	bioRxiv (preprint)	10.64898/2026.02.06.704496	41727094	ENZYME_LIKELY	PMC:PMC12919067	unknown				sulfation(2);oxidoreductase(1);sulfate(1)	Navigating the conjugated metabolome
47	2026	Mar	bioRxiv (preprint)	10.64898/2026.03.27.714844	41959195	ENZYME_LIKELY	PMC:PMC13060134	False				sulfated(9);sulfate(8);sulfation(1)	Pan-Metabolomics Repository Mapping of the Carnitine Landscape
48	2026	Feb	Anal Chem	10.1021/acs.analchem.5c06769	41549429	ENZYME_LIKELY	PMC:PMC12874208	False				cyp3a4(1);transferase(1);lyase(1)	Quantitative Food Compounds Enable Dietary Ontology Referencing across 500 Foods and Human Plasma
53	2026	Apr	bioRxiv (preprint)	10.64898/2026.03.29.715122	41959396	ENZYME_LIKELY	PMC:PMC13060078	False				bile salt hydrolase(2);acyltransferase(1);amine-conjugated(1)	Serum metabolic signatures of cognitive resilience in a longitudinal aging cohort
6	2025	Mar	bioRxiv (preprint)	10.1101/2025.03.04.641505	41659560	ENZYME_LIKELY	PMC:PMC12874289	False				amine-conjugated(1);sulfate(1);bile salt hydrolase(1)	MS/MS Mass Spectrometry Filtering Tree for Bile Acid Isomer Annotation
10	2025	Dec	Nat Commun	10.1038/s41467-025-66619-6	41339624	ENZYME_LIKELY	PMC:PMC12764907	False				acyltransferase(5);bile salt hydrolase(3);kinase(3);deconjugation(2);amine-conjugated(1)	Microbiome-derived bile acid signatures in early life and their association with islet autoimmunity
11	2025	Feb	medRxiv (preprint)	10.1101/2025.02.18.25322275	40061321	ENZYME_LIKELY	PMC:PMC11888530	False				acyltransferase(5);bile salt hydrolase(3);kinase(3);deconjugation(2);amine-conjugated(1)	Trajectories of microbiome-derived bile acids in early life — insights into the progression to islet autoimmunity
14	2025	Dec	Gut Microbes	10.1080/19490976.2025.2474142	40025767	ENZYME_LIKELY	PMC:PMC11881840	False				sulfate(2);deconjugation(1)	Gut microbiota and derived metabolites mediate obstructive sleep apnea induced atherosclerosis
27	2025	Jul	Cell	10.1016/j.cell.2025.05.015	40499541	ENZYME_LIKELY	PMC:PMC12428309	False				hydrolase(3);methyltransferase(1)	The microbiome diversifies long- to short-chain fatty acid-derived N-acyl lipids
35	2025	Dec	NPJ Biofilms Microbiomes	10.1038/s41522-025-00899-0	41476253	ENZYME_LIKELY	PMC:PMC12864830	False				bile salt hydrolase(4);acyltransferase(1);amine-conjugated(1)	Fecal microbial and metabolic signatures in children with very early onset inflammatory bowel disease
36	2025	Dec	bioRxiv (preprint)	10.64898/2025.12.08.692990	41427374	ENZYME_LIKELY	PMC:PMC12713748	False				amine-conjugated(3);bile salt hydrolase(1);acyltransferase(1)	Effect of Perinatal Ampicillin or Amoxicillin/Clavulanate Exposure on Maternal and Infant Gut Microbiome, Metabolome, and Infant Responses to the 20-valent Pneumococcal Conjugate Vaccine
40	2025	Apr	medRxiv (preprint)	10.1101/2025.04.18.25326056	40321269	ENZYME_LIKELY	PMC:PMC12047917	False				bile salt hydrolase(2);deconjugation(1);deconjugated(1);deconjugating(1)	Profiling the human luminal small intestinal microbiome using a novel ingestible medical device
41	2025	Nov	ISME Commun	10.1093/ismeco/ycaf224	41439190	ENZYME_LIKELY	PMC:PMC12721380	False				bile salt hydrolase(2);deconjugate(1);deconjugated(1);deconjugating(1)	Exploring the human small intestinal luminal microbiome via a newly developed ingestible sampling device
45	2025	Apr	Res Sq (preprint)	10.21203/rs.3.rs-6321321/v1	40297700	ENZYME_LIKELY	PMC:PMC12036448	False				deconjugation(11);sulfate(7);deconjugate(2);deconjugating(1);cyp2e1(1);sulfated(1)	Glucuronidation Metabolomic Fingerprinting to Map Host-Microbe Metabolism (preprint)
52	2025	May	ACS Omega	10.1021/acsomega.5c01983	40487999	ENZYME_LIKELY	PMC:PMC12138623	False				sulfated(4);sulfate(4)	Ex Vivo Interaction Between Human Gut Microbiota and Artemisinin: A Multi-Omics Perspective
